label,text
4,"Stars pay tribute to actor Davis Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York. Veteran star Ossie Davis, a well-known civil rights activist, died in Miami at the age of 87 on 4 February 2005. Friends and family, including actress Ruby Dee his wife of 56 years, gathered at the Riverside Church on Saturday. Also present at the service was former US president Bill Clinton and singer Harry Belafonte, who gave the eulogy. ""He would have been a very good president of the United States,"" said Mr Clinton. ""Like most of you here, he gave more to me than I gave to him."" The 87-year-old was found dead last weekend in his hotel room in Florida, where he was making a film. Police said that he appeared to have died of natural causes."
2,Cherie accused of attacking Bush Cherie Blair has been accused of criticising George W Bush's policies in a private address she gave during a United States lecture tour. The prime minister's wife is said to have praised the Supreme Court for overruling the White House on the legal rights of Guantanamo Bay detainees. The Tories said she broke a convention that British political figures do not act in a partisan way when abroad. But Downing Street said she was speaking in her capacity as a lawyer. It said she was not expressing political opinions. Mrs Blair's remarks are said to have been made in a speech to law students in Massachusetts. She said the decision by the US Supreme Court to give legal protection to two Britons held at Guantanamo Bay was a significant victory for human rights and the international rule of law. She also described the US legal
1,"Half-Life 2 sweeps Bafta awards PC first person shooter Half-Life 2 has won six Bafta Awards, including best game and best online game. The title, developed by Valve, was released last year to universal acclaim - receiving special praise for its immersive plot and physics engine. The game also won Baftas for best action adventure, best PC game, art direction and animation. Burnout 3 won three awards in the categories for racing, technical direction and best PlayStation 2 game. Grant Dean, chairman of the Bafta games awards, said at a ceremony in London on Tuesday: ""The last year has been a great year for the interactive entertainment industry. ""These awards reflect the enormous achievements, progress and diversity that we have seen in that time."" Halo 2 won the best Xbox game category, while Prince of Persia: Warrior Within was adjudged the best GameCube title. The sports award went to Konami's"
3,"Roddick into San Jose final Andy Roddick will play Cyril Saulnier in the final of the SAP Open in San Jose on Sunday. The American top seed and defending champion overcame Germany's Tommy Haas, the third seed, 7-6 (7-3) 6-3. And Saulnier survived an injury scare in his semi-final with seventh-seeded Austrian Jurgen Melzer. The Frenchman twisted his ankle early in the second set but overcame Melzer, who was left fuming over a series of line calls, 6-7 (3-7) 6-3 6-3. ""I was feeling horrible earlier in the week,"" Roddick said. ""I thought tonight was another step in the right direction. ""On my returns, I was standing in more and I'm getting a little more depth, even if I don't hit a perfect return."" Roddick won the last four points of the first-set tie-break before being broken at the start of the second set. But he broke straight back and"
1,"PC photo printers challenge pros Home printed pictures can be cheaper and higher quality than those from High Street developers, tests shows. A survey carried out by PC Pro magazine looked at which of 100 home photo printers offered a better deal than handing your snaps to a photo lab. The tests found that images from top PC printers kept their colour longer than professionally produced photographs. But using the wrong printer cartridge could means snaps fade in months, warned the magazine. The group test of 100 home photo printers for PCs discovered how much it costs to create images using the devices compared to online developers as well as High Street names such as Jessops, Boots and Snappy Snaps. The comprehensive test also revealed how quickly different printers produced images, the quality of the finished image and how resistant finished pictures were to smudging or water damage. It found"
1,"Viewers to be able to shape TV Imagine editing Titanic down to watch just your favourite bits or cutting out the slushier moments of Star Wars to leave you with a bare bones action-fest. Manipulating your favourite films to make a more personalised movie is just the beginning of an ambitious new 7.5m euro (Â£5.1m) project funded by the European Union. New Media for a New Millennium (NM2) will have as its endgame the development of a completely new media genre, which will allow audiences to create their own media worlds based on their specific interests or tastes. Viewers will be able to participate in storylines, manipulate plots and even the sets and props of TV shows. BT is one of 13 partners involved in the project. It will be contributing software that was originally designed to spot anomalies in CCTV pictures. The software uses content recognition algorithms. The three-year"
4,"Sideways dominates Spirit awards The comedy Sideways has dominated this year's Independent Spirit Awards, winning all six of the awards for which it was nominated. It was named best film while Alexander Payne won best director and best screenplay, along with writing partner Jim Taylor. It also won acting awards for stars Paul Giamatti, Thomas Haden Church and Virginia Madsen. Sideways is tipped to do well at Sunday's Oscars, with five nominations. The awards, now in their 20th year, are given to films made outside the traditional studio system, and are traditionally held the day before the Oscars. Other winners included Catalina Sandino Moreno, who took best actress for her role as a drug smuggler in the Colombian drama Maria Full of Grace. Moreno is also nominated for best actress at the Oscars. The best first screenplay award went to Joshua Marston for Maria Full of Grace. Scrubs star Zach"
1,"Sony PSP tipped as a 'must-have' Sony's Playstation Portable is the top UK gadget for 2005, according to a round-up of ultimate gizmos compiled by Stuff Magazine. It beats the iPod into second place in the Top Ten Essentials list which predicts what gadget-lovers are likely to covet this year. Owning all 10 gadgets will set the gadget lover back Â£7,455. That is Â£1,000 cheaper than last year's list due to falling manufacturing costs making gadgets more affordable. Portable gadgets dominate the list, including Sharp's 902 3G mobile phone, the Pentax Optio SV digital camera and Samsung's Yepp YH-999 video jukebox. ""What this year's Essentials shows is that gadgets are now cheaper, sexier and more indispensable than ever. We've got to the point where we can't live our lives without certain technology,"" said Adam Vaughan, editor of Stuff Essentials. The proliferation of gadgets in our homes is inexorably altering the"
3,"Davies favours Gloucester future Wales hooker Mefin Davies is likely to stay with English side Gloucester despite reported interest from the Neath-Swansea Ospreys. BBC Wales understands the Ospreys are interested in the 32-year-old, but that he would prefer to stay where he is. Davies, one of the stars of Saturday's RBS Six Nations win over England, is only on a year contract at Kingsholm. But the hooker has proved his worth to the Zurich Premiership side and is likely to get a new deal next season. The summer demise of the Celtic Warriors region left Davies in the cold and forced him to take a semi-professional contract with Neath RFC. Although he got match time with the Ospreys at the request of the Wales management, he admitted before his move to Gloucester that he was angry with the way he was treated. ""The WRU didn't give me any help off"
2,"Defiant hunts put ban to the test Thousands of hunt supporters have been out on the first day of hunting in England and Wales after the ban on hunting with dogs came into force. The Countryside Alliance called on hunt supporters to meet as normal, but vowed to stay within the law. Although hunting with dogs is now a criminal offence, exercising hounds, chasing a scent trail and flushing out foxes to be shot are still legal. One anti-hunt protester was taken to hospital after a violent clash in Kent. The man suffered facial injuries after an incident involving a group of men at the end of the East Kent Hunt, near Ashford. In Wiltshire, police arrested four men under the new law suspected of hunting with dogs. The group, from South Wales and Ireland, have been released on bail but police say they may face prosecution under new poaching"
